label	id	name	class	pathway_size	genes_found_n	genes_found_frac	genes_found	genes_not_found
1592389 [ECM Org]	R-HSA-1592389	Activation of Matrix Metalloproteinases	ECM Org	33	31	0.939393939393939	CMA1|COL18A1|CTRB2|CTSG|CTSK|CTSV|FURIN|KLK2|KLKB1|MMP1|MMP10|MMP11|MMP13|MMP14|MMP15|MMP16|MMP17|MMP2|MMP24|MMP25|MMP3|MMP7|MMP8|MMP9|PLG|PRSS1|PRSS2|SPOCK3|TIMP1|TIMP2|TPSAB1	CTRB1|ELANE
1169091 [Imm Sys]	R-HSA-1169091	Activation of NF-kappaB in B cells	Imm Sys	67	66	0.985074626865672	BCL10|BTRC|CARD11|CHUK|CUL1|FBXW11|IKBKB|IKBKG|MALT1|MAP3K7|NFKB1|NFKBIA|NFKBIB|NFKBIE|PRKCB|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|REL|RELA|RPS27A|SEM1|SKP1|UBA52|UBB|UBC	PSMB11
2980767 [Cell Cycl]	R-HSA-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7	Cell Cycl	7	7	1	CCNB1|CCNB2|CDK1|NEK6|NEK7|NEK9|PLK1	
442755 [Neur Sys]	R-HSA-442755	Activation of NMDA receptors and postsynaptic events	Neur Sys	74	73	0.986486486486487	ACTN2|ADCY1|ADCY8|APBA1|ARHGEF7|CALM1|CAMK1|CAMK2A|CAMK2B|CAMK2D|CAMK2G|CAMK4|CAMKK1|CAMKK2|CASK|CREB1|DLG1|DLG2|DLG3|DLG4|ERBB4|GIT1|GRIA1|GRIA2|GRIA3|GRIA4|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|HRAS|KIF17|KPNA2|KRAS|LIN7A|LIN7B|LIN7C|LRRC7|MAPK1|MAPK3|MAPT|NEFL|NRAS|NRG1|NRGN|PDPK1|PPM1E|PPM1F|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKACA|PRKACB|PRKAG1|PRKAG2|PRKAG3|PRKAR1A|PRKAR1B|PRKAR2A|PRKAR2B|PRKX|RAC1|RASGRF1|RASGRF2|RPS6KA1|RPS6KA2|RPS6KA3|RPS6KA6|SRC	PRKACG
111448 [Prog Cell Death]	R-HSA-111448	Activation of NOXA and translocation to mitochondria	Prog Cell Death	5	5	1	E2F1|PMAIP1|TFDP1|TFDP2|TP53	
451307 [Neur Sys]	R-HSA-451307	Activation of Na-permeable kainate receptors	Neur Sys	2	2	1	GRIK1|GRIK2	
2151209 [Org Biog]	R-HSA-2151209	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	Org Biog	10	10	1	MAPK11|MAPK12|MAPK14|PPARGC1A|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3	
139915 [Prog Cell Death]	R-HSA-139915	Activation of PUMA and translocation to mitochondria	Prog Cell Death	9	9	1	BBC3|E2F1|PPP1R13B|TFDP1|TFDP2|TP53|TP53BP2|TP63|TP73	
428540 [Dev Biol]	R-HSA-428540	Activation of RAC1	Dev Biol	13	13	1	NCK1|NCK2|PAK1|PAK2|PAK3|PAK4|PAK5|PAK6|RAC1|ROBO1|SLIT2|SOS1|SOS2	
9619229 [Neur Sys]	R-HSA-9619229	Activation of RAC1 downstream of NMDARs	Neur Sys	7	7	1	ARHGEF7|CALM1|CAMK1|CAMKK1|CAMKK2|GIT1|RAC1	
1169092 [Imm Sys]	R-HSA-1169092	Activation of RAS in B cells	Imm Sys	5	5	1	HRAS|KRAS|NRAS|RASGRP1|RASGRP3	
5635838 [Sig Transd]	R-HSA-5635838	Activation of SMO	Sig Transd	18	18	1	ARRB1|ARRB2|BOC|CDON|CSNK1A1|DHH|EFCAB7|EVC|EVC2|GAS1|GAS8|GRK2|IHH|IQCE|KIF3A|PTCH1|SHH|SMO	
187015 [Sig Transd]	R-HSA-187015	Activation of TRKA receptors	Sig Transd	6	6	1	ADCYAP1|ADCYAP1R1|ADORA2A|NGF|NTRK1|NTRK2	
5617472 [Dev Biol]	R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	Dev Biol	91	89	0.978021978021978	AJUBA|ASH2L|CNOT6|CREBBP|CTCF|EED|EGR2|EP300|EZH2|H2AFB1|H2AFJ|H2AFV|H2AFX|H2AFZ|H2BFS|H3F3A|HDAC3|HIST1H2AB|HIST1H2AC|HIST1H2AD|HIST1H2AJ|HIST1H2BA|HIST1H2BB|HIST1H2BC|HIST1H2BD|HIST1H2BH|HIST1H2BJ|HIST1H2BK|HIST1H2BL|HIST1H2BM|HIST1H2BN|HIST1H2BO|HIST1H3A|HIST1H4A|HIST2H2AA3|HIST2H2AC|HIST2H2BE|HIST2H3A|HIST3H2BB|HOXA1|HOXA2|HOXA3|HOXA4|HOXB2|HOXB3|HOXB4|HOXC4|HOXD1|HOXD3|HOXD4|JUN|KDM6A|KMT2C|KMT2D|MAFB|MEIS1|NCOA3|NCOA6|NCOR1|PAGR1|PAX6|PAXIP1|PBX1|PCGF2|PIAS2|PKNOX1|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|RARA|RARB|RARG|RBBP4|RBBP5|RBBP7|RXRA|SUZ12|WDR5|YY1|ZNF335	HOXB1|RQCD1
111459 [Prog Cell Death]	R-HSA-111459	Activation of caspases through apoptosome-mediated cleavage	Prog Cell Death	6	6	1	APAF1|CASP3|CASP7|CASP9|CYCS|XIAP	
2426168 [Metab]	R-HSA-2426168	Activation of gene expression by SREBF (SREBP)	Metab	43	42	0.976744186046512	ACACA|ACACB|CARM1|CHD9|CREBBP|CYP51A1|DHCR7|ELOVL6|FASN|FDFT1|FDPS|GGPS1|GPAM|HELZ2|HMGCR|HMGCS1|IDI1|LSS|MED1|MTF1|MVD|MVK|NCOA1|NCOA2|NCOA6|NFYA|NFYB|NFYC|PMVK|PPARA|RXRA|SC5D|SCD|SMARCD3|SP1|SQLE|SREBF1|SREBF2|TBL1X|TBL1XR1|TGS1|TM7SF2	SC5DL
451326 [Neur Sys]	R-HSA-451326	Activation of kainate receptors upon glutamate binding	Neur Sys	30	28	0.933333333333333	CALM1|DLG1|DLG3|DLG4|GNB1|GNB2|GNB3|GNB4|GNB5|GNG10|GNG11|GNG12|GNG2|GNG3|GNG4|GNG5|GNG7|GNGT1|GNGT2|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|NCALD|PLCB1|PLCB2|PLCB3	GNG13|GNG8
450341 [Imm Sys]	R-HSA-450341	Activation of the AP-1 family of transcription factors	Imm Sys	10	10	1	ATF2|FOS|JUN|MAPK1|MAPK10|MAPK11|MAPK14|MAPK3|MAPK8|MAPK9	
8866907 [Gene Expr]	R-HSA-8866907	Activation of the TFAP2 (AP-2) family of transcription factors	Gene Expr	12	11	0.916666666666667	CITED1|CITED2|CITED4|CREBBP|EP300|TFAP2A|TFAP2B|TFAP2C|TFAP2E|WWOX|YEATS4	TFAP2D
72662 [Metab Prot]	R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	Metab Prot	61	60	0.983606557377049	EIF1AX|EIF2S1|EIF2S2|EIF2S3|EIF3A|EIF3B|EIF3C|EIF3D|EIF3E|EIF3F|EIF3G|EIF3H|EIF3I|EIF3J|EIF3K|EIF3L|EIF3M|EIF4A1|EIF4A2|EIF4B|EIF4E|EIF4EBP1|EIF4G1|EIF4H|FAU|PABPC1|RPS10|RPS11|RPS12|RPS13|RPS14|RPS15|RPS15A|RPS16|RPS17|RPS18|RPS19|RPS2|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27|RPS27A|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS4Y2|RPS5|RPS6|RPS7|RPS8|RPS9|RPSA	18S rRNA
2485179 [Sig Transd]	R-HSA-2485179	Activation of the phototransduction cascade	Sig Transd	11	11	1	CNGA1|CNGB1|GNAT1|GNB1|GNGT1|PDE6A|PDE6B|PDE6G|RHO|SAG|SLC24A1	
68962 [Cell Cycl]	R-HSA-68962	Activation of the pre-replicative complex	Cell Cycl	33	33	1	CDC45|CDC6|CDC7|CDK2|CDT1|DBF4|GMNN|MCM10|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|MCM8|ORC1|ORC2|ORC3|ORC4|ORC5|ORC6|POLA1|POLA2|POLE|POLE2|POLE3|POLE4|PRIM1|PRIM2|RPA1|RPA2|RPA3|RPA4	
75108 [Prog Cell Death]	R-HSA-75108	Activation, myristolyation of BID and translocation to mitochondria	Prog Cell Death	4	4	1	BID|CASP8|GZMB|NMT1	
114294 [Prog Cell Death]	R-HSA-114294	Activation, translocation and oligomerization of BAX	Prog Cell Death	2	2	1	BAX|BID	
1482798 [Metab]	R-HSA-1482798	Acyl chain remodeling of CL	Metab	6	6	1	HADHA|HADHB|LCLAT1|PLA2G4A|PLA2G6|TAZ	
1482883 [Metab]	R-HSA-1482883	Acyl chain remodeling of DAG and TAG	Metab	8	8	1	AWAT2|DGAT1|DGAT2|DGAT2L6|DGAT2L7P|MGLL|PNPLA2|PNPLA3	
1482788 [Metab]	R-HSA-1482788	Acyl chain remodelling of PC	Metab	27	25	0.925925925925926	LPCAT1|LPCAT2|LPCAT3|LPCAT4|MBOAT2|PLA2G10|PLA2G12A|PLA2G16|PLA2G1B|PLA2G2A|PLA2G2D|PLA2G2F|PLA2G3|PLA2G4A|PLA2G4B|PLA2G4C|PLA2G4E|PLA2G4F|PLA2G5|PLA2G6|PLA2R1|PLB1|PLBD1|PNPLA8|TMEM86B	PLA2G2E|PLA2G4D
1482839 [Metab]	R-HSA-1482839	Acyl chain remodelling of PE	Metab	29	27	0.931034482758621	ABHD4|HRASLS|HRASLS2|HRASLS5|LPCAT3|LPCAT4|MBOAT1|MBOAT2|PLA2G10|PLA2G12A|PLA2G16|PLA2G1B|PLA2G2A|PLA2G2D|PLA2G2F|PLA2G3|PLA2G4A|PLA2G4B|PLA2G4C|PLA2G4E|PLA2G4F|PLA2G5|PLA2G6|PLA2R1|PLBD1|PNPLA8|RARRES3	PLA2G2E|PLA2G4D
1482925 [Metab]	R-HSA-1482925	Acyl chain remodelling of PG	Metab	18	16	0.888888888888889	CRLS1|LPCAT1|LPCAT4|LPGAT1|PLA2G10|PLA2G12A|PLA2G1B|PLA2G2A|PLA2G2D|PLA2G2F|PLA2G3|PLA2G4A|PLA2G4B|PLA2G4F|PLA2G5|PLA2R1	PLA2G2E|PLA2G4D
1482922 [Metab]	R-HSA-1482922	Acyl chain remodelling of PI	Metab	17	15	0.882352941176471	MBOAT7|PLA2G10|PLA2G12A|PLA2G16|PLA2G1B|PLA2G2A|PLA2G2D|PLA2G2F|PLA2G4A|PLA2G4C|PLA2G4E|PLA2G4F|PLA2G5|PLA2R1|PLBD1	PLA2G2E|PLA2G4D
1482801 [Metab]	R-HSA-1482801	Acyl chain remodelling of PS	Metab	22	20	0.909090909090909	LPCAT3|LPCAT4|MBOAT1|OSBPL10|OSBPL5|OSBPL8|PLA1A|PLA2G10|PLA2G12A|PLA2G16|PLA2G1B|PLA2G2A|PLA2G2D|PLA2G2F|PLA2G4A|PLA2G4B|PLA2G4E|PLA2G4F|PLA2G5|PLA2R1	PLA2G2E|PLA2G4D
1280218 [Imm Sys]	R-HSA-1280218	Adaptive Immune System	Imm Sys	828	795	0.960144927536232	ACTR10|ACTR1A|ACTR1B|AHCYL1|AKT1|AKT2|AKT3|ANAPC1|ANAPC10|ANAPC11|ANAPC13|ANAPC2|ANAPC4|ANAPC5|ANAPC7|AP1B1|AP1G1|AP1M1|AP1M2|AP1S1|AP1S2|AP1S3|AP2A1|AP2A2|AP2B1|AP2M1|AP2S1|AREL1|ARF1|ARIH2|ASB1|ASB11|ASB12|ASB13|ASB14|ASB15|ASB16|ASB18|ASB2|ASB3|ASB4|ASB6|ASB7|ASB8|ASB9|ATG7|B2M|BCL10|BLK|BLMH|BLNK|BTBD1|BTBD6|BTK|BTLA|BTN1A1|BTN2A1|BTN2A2|BTN3A1|BTN3A2|BTN3A3|BTNL8|BTNL9|BTRC|C3|CALM1|CALR|CANX|CAPZA1|CAPZA2|CAPZA3|CAPZB|CARD11|CBLB|CCNF|CD101|CD14|CD160|CD19|CD1A|CD1B|CD1C|CD1D|CD200|CD200R1|CD207|CD209|CD22|CD226|CD247|CD274|CD28|CD300A|CD300C|CD300E|CD300LB|CD300LF|CD300LG|CD33|CD34|CD36|CD3D|CD3E|CD3G|CD4|CD40|CD40LG|CD74|CD79A|CD79B|CD80|CD81|CD86|CD8A|CD8B|CD96|CD99|CDC16|CDC20|CDC23|CDC26|CDC27|CDC34|CDC42|CDH1|CENPE|CHUK|CLEC2B|CLEC2D|CLEC4G|CLTA|CLTC|COLEC12|CRTAM|CSK|CTLA4|CTSA|CTSB|CTSC|CTSD|CTSE|CTSF|CTSH|CTSK|CTSL|CTSO|CTSS|CTSV|CUL1|CUL2|CUL3|CUL5|CUL7|CXADR|CYBA|CYBB|DAPP1|DCTN1|DCTN2|DCTN3|DCTN4|DCTN5|DCTN6|DET1|DNM1|DNM2|DNM3|DTX3L|DYNC1H1|DYNC1I1|DYNC1I2|DYNC1LI1|DYNC1LI2|DYNLL1|DYNLL2|DZIP3|ELOB|ELOC|ENAH|ERAP1|ERAP2|EVL|FBXL12|FBXL13|FBXL14|FBXL15|FBXL16|FBXL18|FBXL19|FBXL20|FBXL22|FBXL3|FBXL4|FBXL5|FBXL7|FBXL8|FBXO10|FBXO11|FBXO15|FBXO17|FBXO2|FBXO21|FBXO22|FBXO27|FBXO30|FBXO31|FBXO32|FBXO4|FBXO40|FBXO41|FBXO44|FBXO6|FBXO7|FBXO9|FBXW10|FBXW11|FBXW12|FBXW2|FBXW4|FBXW5|FBXW7|FBXW8|FBXW9|FCGR1A|FCGR1B|FCGR2B|FCGR3A|FKBP1A|FYB|FYN|FZR1|GAN|GLMN|GRAP2|GRB2|HACE1|HCST|HECTD1|HECTD2|HECTD3|HECW2|HERC1|HERC2|HERC3|HERC4|HERC5|HERC6|HLA-A|HLA-B|HLA-C|HLA-DMA|HLA-DMB|HLA-DOA|HLA-DOB|HLA-DPA1|HLA-DPB1|HLA-DQA1|HLA-DQA2|HLA-DQB1|HLA-DQB2|HLA-DRA|HLA-DRB1|HLA-DRB5|HLA-E|HLA-F|HLA-G|HLA-H|HRAS|HSPA5|HUWE1|ICAM1|ICAM2|ICAM3|ICAM4|ICAM5|ICOS|ICOSLG|IFI30|IFITM1|IGHD|IGHM|IGHV1-2|IGHV1-46|IGHV1-69|IGHV2-5|IGHV2-70|IGHV3-11|IGHV3-13|IGHV3-23|IGHV3-30|IGHV3-33|IGHV3-48|IGHV3-53|IGHV3-7|IGHV4-34|IGHV4-39|IGHV4-59|IGHV7-81|IGKC|IGKV1-12|IGKV1-16|IGKV1-17|IGKV1-33|IGKV1-39|IGKV1-5|IGKV1D-12|IGKV1D-16|IGKV1D-33|IGKV1D-39|IGKV2-28|IGKV2-29|IGKV2-30|IGKV2D-28|IGKV2D-30|IGKV2D-40|IGKV3-11|IGKV3-15|IGKV3-20|IGKV3D-20|IGKV4-1|IGKV5-2|IGLC1|IGLC2|IGLC3|IGLC6|IGLC7|IGLV1-36|IGLV1-40|IGLV1-44|IGLV1-47|IGLV1-51|IGLV10-54|IGLV2-11|IGLV2-14|IGLV2-18|IGLV2-23|IGLV2-8|IGLV3-1|IGLV3-12|IGLV3-16|IGLV3-19|IGLV3-21|IGLV3-25|IGLV3-27|IGLV4-3|IGLV4-60|IGLV4-69|IGLV5-37|IGLV5-45|IGLV6-57|IGLV7-43|IGLV7-46|IGLV8-61|IKBKB|IKBKG|INPP5D|ITCH|ITGA4|ITGAL|ITGAV|ITGB1|ITGB2|ITGB5|ITGB7|ITK|ITPR1|ITPR2|ITPR3|JAML|KBTBD13|KBTBD6|KBTBD7|KBTBD8|KCTD6|KCTD7|KEAP1|KIF11|KIF15|KIF18A|KIF20A|KIF22|KIF23|KIF26A|KIF2A|KIF2C|KIF3A|KIF3B|KIF3C|KIF4A|KIF4B|KIF5A|KIF5B|KIF5C|KIFAP3|KIR2DL3|KIR2DL4|KIR3DL2|KLC1|KLC2|KLC3|KLC4|KLHL11|KLHL13|KLHL2|KLHL20|KLHL21|KLHL22|KLHL25|KLHL3|KLHL41|KLHL42|KLHL5|KLHL9|KLRB1|KLRC1|KLRD1|KLRF1|KLRG1|KLRK1|KRAS|LAG3|LAIR1|LAIR2|LAT|LCK|LCP2|LGMN|LILRA1|LILRA2|LILRA4|LILRA5|LILRA6|LILRB1|LILRB2|LILRB3|LILRB4|LILRB5|LMO7|LNPEP|LNX1|LONRF1|LRR1|LRRC41|LRSAM1|LTN1|LY96|LYN|MADCAM1|MALT1|MAP3K14|MAP3K7|MAP3K8|MAPKAP1|MEX3C|MGRN1|MIB2|MICA|MICB|MKRN1|MLST8|MRC1|MRC2|MTOR|MYD88|MYLIP|NCF1|NCF2|NCF4|NCK1|NCR1|NCR3|NCR3LG1|NECTIN2|NEDD4|NEDD4L|NFATC1|NFATC2|NFATC3|NFKB1|NFKBIA|NFKBIB|NFKBIE|NPDC1|NPEPPS|NRAS|ORAI1|ORAI2|OSBPL1A|OSCAR|PAG1|PAK1|PAK2|PAK3|PARK2|PDCD1|PDCD1LG2|PDIA3|PDPK1|PIANP|PIK3AP1|PIK3CA|PIK3CB|PIK3CD|PIK3R1|PIK3R2|PIK3R3|PILRA|PILRB|PJA1|PJA2|PLCG1|PLCG2|PPIA|PPL|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E|PPP3CA|PPP3CB|PPP3R1|PRKACA|PRKACB|PRKCB|PRKCQ|PRKG1|PRR5|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|PTEN|PTPN11|PTPN22|PTPN6|PTPRC|PTPRJ|PVR|RAB7A|RAC1|RACGAP1|RAET1E|RAF1|RAP1A|RAP1B|RAP1GAP|RAP1GAP2|RAPGEF3|RAPGEF4|RASGRP1|RASGRP2|RASGRP3|RBBP6|RBCK1|RBX1|RCHY1|REL|RELA|RICTOR|RILP|RIPK2|RLIM|RNF111|RNF114|RNF115|RNF123|RNF126|RNF130|RNF138|RNF14|RNF144B|RNF182|RNF19A|RNF19B|RNF213|RNF217|RNF220|RNF25|RNF34|RNF4|RNF41|RNF6|RNF7|RPS27A|SAR1B|SEC13|SEC22B|SEC23A|SEC24A|SEC24B|SEC24C|SEC24D|SEC31A|SEC61A1|SEC61A2|SEC61B|SEC61G|SELL|SEM1|SH2D1A|SH2D1B|SH3GL2|SH3KBP1|SH3RF1|SIAH1|SIAH2|SIGLEC1|SIGLEC10|SIGLEC11|SIGLEC12|SIGLEC5|SIGLEC6|SIGLEC7|SIGLEC8|SIGLEC9|SIPA1|SKP1|SKP2|SLAMF6|SLAMF7|SMURF1|SMURF2|SNAP23|SOCS1|SOCS3|SOS1|SPSB1|SPSB2|SPSB4|SPTBN2|SRC|STIM1|STUB1|STX4|SYK|TAB2|TAP1|TAP2|TAPBP|THEM4|THOP1|TIRAP|TLR1|TLR2|TLR4|TLR6|TNFRSF14|TPP2|TRAC|TRAF6|TRAF7|TRAIP|TRAT1|TRAV19|TRAV29DV5|TRAV8-4|TRBC1|TRBV12-3|TRBV7-9|TREM1|TREM2|TREML1|TREML2|TREML4|TRIB3|TRIM11|TRIM21|TRIM32|TRIM36|TRIM37|TRIM39|TRIM4|TRIM41|TRIM50|TRIM63|TRIM69|TRIM71|TRIM9|TRIP12|TRPC1|TYROBP|UBA1|UBA3|UBA5|UBA52|UBA6|UBA7|UBAC1|UBB|UBC|UBE2A|UBE2B|UBE2C|UBE2D1|UBE2D2|UBE2D3|UBE2D4|UBE2E1|UBE2E2|UBE2E3|UBE2F|UBE2G1|UBE2G2|UBE2H|UBE2J1|UBE2J2|UBE2K|UBE2L3|UBE2L6|UBE2M|UBE2N|UBE2O|UBE2Q1|UBE2Q2|UBE2R2|UBE2S|UBE2U|UBE2V1|UBE2V2|UBE2W|UBE2Z|UBE3A|UBE3B|UBE3C|UBE3D|UBE4A|UBOX5|UBR1|UBR2|UBR4|UFL1|ULBP1|ULBP3|UNKL|VAMP3|VAMP8|VASP|VAV1|VCAM1|VHL|WAS|WSB1|WWP1|XDH|YES1|YWHAB|YWHAZ|ZAP70|ZBTB16|ZNRF1|ZNRF2	ASB10|ASB17|ASB5|BTNL2|CBLL2|CD300LD|FBXL21P|GLYCAM1|HA|HLA-DRB3|HLA-DRB4|HN|IGHV|IGHV3-9|IGLV|IGLV11-55|IGLV2-33|IGLV3-22|KIF2B|KIR2DL1|KIR2DL2|KIR2DS1|KIR2DS2|KIR3DL1|LILRA3|NCR2|PRKACG|PSMB11|UL83|VPRBP|cd21|mip|porB
417973 [Sig Transd]	R-HSA-417973	Adenosine P1 receptors	Sig Transd	4	4	1	ADORA1|ADORA2A|ADORA2B|ADORA3	
170660 [Sig Transd]	R-HSA-170660	Adenylate cyclase activating pathway	Sig Transd	10	10	1	ADCY1|ADCY2|ADCY3|ADCY4|ADCY5|ADCY6|ADCY7|ADCY8|ADCY9|GNAL	
170670 [Neur Sys Sig Tr]	R-HSA-170670	Adenylate cyclase inhibitory pathway	Neur Sys Sig Tr	14	13	0.928571428571429	ADCY1|ADCY2|ADCY3|ADCY4|ADCY5|ADCY6|ADCY7|ADCY8|ADCY9|GNAI1|GNAI2|GNAI3|GNAL	GNAT3
418990 [C-C Comm]	R-HSA-418990	Adherens junctions interactions	C-C Comm	31	31	1	AFDN|ANG|CADM1|CADM2|CADM3|CDH1|CDH10|CDH11|CDH12|CDH13|CDH15|CDH17|CDH18|CDH2|CDH24|CDH3|CDH4|CDH5|CDH6|CDH7|CDH8|CDH9|CTNNA1|CTNNB1|CTNND1|JUP|NECTIN1|NECTIN2|NECTIN3|NECTIN4|PVR	
392023 [Hemost]	R-HSA-392023	Adrenaline signalling through Alpha-2 adrenergic receptor	Hemost	3	3	1	ADRA2A|ADRA2B|ADRA2C	
400042 [Metab]	R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	Metab	28	26	0.928571428571429	ADCY5|ADCY6|ADRA2A|ADRA2C|CACNA1C|CACNA1D|CACNA2D2|CACNB2|CACNB3|GNAI1|GNAI2|GNB1|GNB2|GNB3|GNB4|GNB5|GNG10|GNG11|GNG12|GNG2|GNG3|GNG4|GNG5|GNG7|GNGT1|GNGT2	GNG13|GNG8
390696 [Sig Transd]	R-HSA-390696	Adrenoceptors	Sig Transd	9	9	1	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3	
879415 [Imm Sys]	R-HSA-879415	Advanced glycosylation endproduct receptor signaling	Imm Sys	13	12	0.923076923076923	AGER|APP|CAPZA1|CAPZA2|DDOST|HMGB1|LGALS3|MAPK1|MAPK3|PRKCSH|S100B|SAA1	S100A12
5423646 [Metab]	R-HSA-5423646	Aflatoxin activation and detoxification	Metab	20	20	1	ACY1|ACY3|AKR7A2|AKR7A3|AKR7L|CYP1A2|CYP2A13|CYP3A4|CYP3A5|DPEP1|DPEP2|DPEP3|GGT1|GGT3P|GGT5|GGT6|GGT7|MGST1|MGST2|MGST3	
351143 [Metab]	R-HSA-351143	Agmatine biosynthesis	Metab	2	2	1	AGMAT|AZIN2	
1462054 [Imm Sys]	R-HSA-1462054	Alpha-defensins	Imm Sys	10	6	0.6	CD4|DEFA1|DEFA5|DEFA6|PRSS2|PRSS3	ART1|DEFA3|DEFA4|env
389599 [Metab]	R-HSA-389599	Alpha-oxidation of phytanate	Metab	6	6	1	ALDH3A2|HACL1|PECR|PHYH|SLC25A17|SLC27A2	
173736 [Imm Sys]	R-HSA-173736	Alternative complement activation	Imm Sys	4	4	1	C3|CFB|CFD|GZMM	
140179 [Metab]	R-HSA-140179	Amine Oxidase reactions	Metab	4	4	1	MAOA|MAOB|PAOX|SMOX	
375280 [Sig Transd]	R-HSA-375280	Amine ligand-binding receptors	Sig Transd	43	32	0.744186046511628	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD4|DRD5|GPR143|HRH1|HRH2|HRH4|HTR1B|HTR1D|HTR1F|HTR2A|HTR2B|HTR2C|HTR4|HTR6|HTR7|TAAR1	DRD3|HRH3|HTR1A|HTR1E|HTR5A|TAAR2|TAAR3|TAAR5|TAAR6|TAAR8|TAAR9
209776 [Metab]	R-HSA-209776	Amine-derived hormones	Metab	18	16	0.888888888888889	AANAT|CGA|DBH|DDC|DIO1|DIO2|DIO3|DUOX1|DUOX2|IYD|PNMT|SLC5A5|TH|TPH1|TPH2|TPO	ASMT|TSHB
156587 [Metab]	R-HSA-156587	Amino Acid conjugation	Metab	9	7	0.777777777777778	ACSM1|ACSM2A|ACSM2B|ACSM5|GLYAT|GLYATL1|GLYATL2	ACSM4|GLYATL3
70614 [Metab]	R-HSA-70614	Amino acid synthesis and interconversion (transamination)	Metab	34	34	1	ALDH18A1|ASNS|ASPA|ASPG|FOLH1|FOLH1B|GADL1|GLS|GLS2|GLUD1|GLUD2|GLUL|GOT1|GOT2|GPT|GPT2|KYAT1|NAALAD2|NAT8L|OAT|PHGDH|PSAT1|PSPH|PYCR1|PYCR2|PYCRL|RIMKLA|RIMKLB|SERINC1|SERINC2|SERINC3|SERINC4|SERINC5|SRR	
352230 [Transp Sm Mol]	R-HSA-352230	Amino acid transport across the plasma membrane	Transp Sm Mol	33	32	0.96969696969697	SLC16A10|SLC1A4|SLC1A5|SLC25A29|SLC36A1|SLC36A2|SLC36A4|SLC38A1|SLC38A2|SLC38A3|SLC38A4|SLC38A5|SLC3A1|SLC3A2|SLC43A1|SLC43A2|SLC6A12|SLC6A14|SLC6A15|SLC6A19|SLC6A20|SLC6A6|SLC7A1|SLC7A10|SLC7A11|SLC7A2|SLC7A3|SLC7A5|SLC7A6|SLC7A7|SLC7A8|SLC7A9	SLC6A18
